station_name,,lines,historical,borough,county,latitude,longitude,wifi_available,at_t,sprint,t_mobile,verizon
6 Av,,,FALSE,Manhattan,New York County,40.737335,-73.996786,No,Yes,Yes,Yes,Yes
28th St,,1,TRUE,Manhattan,New York County,40.747215,-73.993365,No,Yes,Yes,Yes,Yes
Court St.,,,FALSE,Brooklyn,Kings County,40.6941,-73.991777,No,No,No,No,No
Steinway St,,,FALSE,Queens,Queens County,40.756879,-73.92074,No,Yes,Yes,Yes,Yes
Borough Hall,,45,FALSE,Brooklyn,Kings County,40.693219,-73.989998,No,No,No,No,No
59th St,,,FALSE,Manhattan,New York County,40.768296,-73.981736,No,Yes,Yes,Yes,Yes
9th St,,,FALSE,Brooklyn,Kings County,40.670847,-73.988302,No,No,No,No,No
Borough Hall,,23,TRUE,Brooklyn,Kings County,40.692404,-73.990151,No,No,No,No,No
34th St,,,FALSE,Manhattan,New York County,40.749719,-73.987823,No,Yes,Yes,Yes,Yes
79th St,,1,TRUE,Manhattan,New York County,40.783934,-73.979917,No,Yes,Yes,Yes,Yes
57th St,,,FALSE,Manhattan,New York County,40.764664,-73.980658,No,Yes,Yes,Yes,Yes
Beverly Road,,25,FALSE,Brooklyn,Kings County,40.645098,-73.948959,No,No,No,No,No
72nd St,,123,TRUE,Manhattan,New York County,40.778453,-73.98197,No,Yes,Yes,Yes,Yes
25th St,,,FALSE,Brooklyn,Kings County,40.660397,-73.998091,No,No,No,No,No
Myrtle-Willoughby,,,FALSE,Brooklyn,Kings County,40.694568,-73.949046,No,No,No,No,No
95th St/Bay Ridge,,,FALSE,Brooklyn,Kings County,40.616622,-74.030876,No,No,No,No,No
28th St,,6,TRUE,Manhattan,New York County,40.74307,-73.984264,No,Yes,Yes,Yes,Yes
Sutphin Blvd,,,FALSE,Queens,Queens County,40.700486,-73.807969,No,Yes,Yes,Yes,Yes
Canal St,,6,FALSE,Manhattan,New York County,40.718803,-74.000193,No,No,Yes,No,No
Clinton &. Washindton,,,FALSE,Brooklyn,Kings County,40.683263,-73.965838,No,No,No,No,No
182nd-183rd Sr,,,FALSE,Bronx,Bronx County,40.856093,-73.900741,No,Yes,Yes,Yes,Yes
110th St,,6,FALSE,Manhattan,New York County,40.79502,-73.94425,No,Yes,Yes,Yes,Yes
14 St,,123,FALSE,Manhattan,New York County,40.737826,-74.000201,No,Yes,Yes,Yes,Yes
Nostrand Ave,,,FALSE,Brooklyn,Kings County,40.680438,-73.950426,No,No,No,No,No
Union Square,,,TRUE,Manhattan,New York County,40.735736,-73.990568,No,No,No,No,No
116th St,,6,FALSE,Manhattan,New York County,40.798629,-73.941617,No,Yes,Yes,Yes,Yes
Chambers St,,123,TRUE,Manhattan,New York County,40.715478,-74.009266,No,No,Yes,No,No
63rd Drive,,,FALSE,Queens,Queens County,40.729846,-73.861604,No,Yes,Yes,Yes,Yes
Grand Army Plaza,,23,FALSE,Brooklyn,Kings County,40.675235,-73.971046,No,No,No,No,No
Hunts Point Avenue,,6,FALSE,Bronx,Bronx County,40.820948,-73.890549,No,Yes,Yes,Yes,Yes
59th St,,456,FALSE,Manhattan,New York County,40.762526,-73.967967,No,Yes,Yes,No,Yes
23rdSt,,,FALSE,Manhattan,New York County,40.742878,-73.992821,No,Yes,Yes,Yes,Yes
Metropolitan Ave,,,FALSE,Brooklyn,Kings County,40.712792,-73.951418,No,Yes,Yes,No,Yes
Bergen St,,,FALSE,Brooklyn,Kings County,40.686145,-73.990862,No,No,No,No,No
103rd St,,1,FALSE,Manhattan,New York County,40.799446,-73.968379,No,Yes,Yes,Yes,Yes
Brook Avenue,,6,FALSE,Bronx,Bronx County,40.807566,-73.91924,No,Yes,Yes,Yes,Yes
191st St,,1,FALSE,Manhattan,New York County,40.855225,-73.929412,No,Yes,Yes,Yes,Yes
Hoyt St,,23,FALSE,Brooklyn,Kings County,40.690545,-73.985065,No,No,No,No,No
Bedford Ave,,,FALSE,Brooklyn,Kings County,40.717304,-73.956872,No,No,Yes,No,No
28th St,,,FALSE,Manhattan,New York County,40.745494,-73.988691,No,Yes,Yes,Yes,Yes
Lawrence St,,,FALSE,Brooklyn,Kings County,40.69218,-73.985942,No,No,No,No,No
Bowery,,,FALSE,Manhattan,New York County,40.72028,-73.993915,No,No,Yes,No,No
Atlantic Ave,,2345,FALSE,Brooklyn,Kings County,40.684359,-73.977666,No,No,No,No,No
Grand Central,,7,FALSE,Manhattan,New York County,40.751431,-73.976041,No,Yes,Yes,Yes,Yes
Jefferson St,,,FALSE,Brooklyn,Kings County,40.706607,-73.922913,No,No,No,No,No
86th St,,,FALSE,Manhattan,New York County,40.785868,-73.968916,No,Yes,Yes,Yes,Yes
Lafayette Ave,,,FALSE,Brooklyn,Kings County,40.686113,-73.973946,No,No,No,No,No
Jamaica-Van Wyck,,,FALSE,Queens,Queens County,40.702566,-73.816859,No,Yes,Yes,Yes,Yes
Fulton St Trn. Ctr.,,,FALSE,Manhattan,New York County,40.71417,-73.999153,No,Yes,Yes,Yes,Yes
169th St,,,FALSE,Queens,Queens County,40.71047,-73.793604,No,Yes,Yes,Yes,Yes
Bergen St,,23,FALSE,Brooklyn,Kings County,40.680829,-73.975098,No,No,No,No,No
3rd Ave,,,FALSE,Manhattan,New York County,40.732849,-73.986122,No,No,Yes,No,No
167th St,,,FALSE,Bronx,Bronx County,40.833773,-73.918438,No,Yes,Yes,Yes,Yes
Broad ST,,,FALSE,Manhattan,New York County,40.706476,-74.011056,No,No,Yes,No,No
46th St,,,FALSE,Queens,Queens County,40.756312,-73.913333,No,Yes,Yes,Yes,Yes
Fulton St,,,FALSE,Manhattan,New York County,40.710374,-74.007582,No,Yes,Yes,Yes,Yes
Clark St,,23,FALSE,Brooklyn,Kings County,40.697466,-73.993086,No,No,No,No,No
68th St,,6,FALSE,Manhattan,New York County,40.768141,-73.96387,No,Yes,Yes,Yes,Yes
161st St,,,FALSE,Bronx,Bronx County,40.827905,-73.925651,No,Yes,Yes,Yes,Yes
53rd St,,,FALSE,Brooklyn,Kings County,40.645069,-74.014034,No,No,No,No,No
116th St,,23,FALSE,Manhattan,New York County,40.802098,-73.949625,No,Yes,Yes,Yes,Yes
Utica Ave,,34,FALSE,Brooklyn,Kings County,40.668897,-73.932942,No,No,No,No,No
Hoyt-Schermerhorn,,,FALSE,Brooklyn,Kings County,40.688484,-73.985001,No,No,No,No,No
1st Ave,,,FALSE,Manhattan,New York County,40.730953,-73.981628,No,No,Yes,No,No
14 St,,,FALSE,Manhattan,New York County,40.740893,-74.00169,No,Yes,Yes,Yes,Yes
Bleecker St,,6,TRUE,Manhattan,New York County,40.725915,-73.994659,No,No,Yes,No,No
Dekalb Ave,,,FALSE,Brooklyn,Kings County,40.703811,-73.918425,No,No,No,No,No
Grand Central,,,FALSE,Manhattan,New York County,40.752769,-73.979189,No,Yes,Yes,Yes,Yes
Fulton St,,45,TRUE,Manhattan,New York County,40.710368,-74.009509,No,Yes,Yes,Yes,Yes
Hunters Point,,7,FALSE,Queens,Queens County,40.742216,-73.948916,No,Yes,Yes,Yes,Yes
Christopher St,,1,FALSE,Manhattan,New York County,40.733422,-74.002906,No,No,Yes,No,No
157th St,,1,FALSE,Manhattan,New York County,40.834041,-73.94489,No,Yes,Yes,Yes,Yes
Morgan Ave,,,FALSE,Brooklyn,Kings County,40.706152,-73.933147,No,No,No,No,No
149th St,,4,FALSE,Bronx,Bronx County,40.818375,-73.927351,No,Yes,Yes,Yes,Yes
